source_id,org,title,url,primary_or_secondary
S01,Swiggy,Q2 FY2026 Shareholder Letter,https://www.swiggy.com/corporate/wp-content/uploads/2025/10/Q2-FY2026-Shareholder-letter.pdf,primary
S02,Swiggy,Investor Relations — Financial Results hub,https://www.swiggy.com/corporate/investor-relations/financial-results/,primary
S03,Groww,Swiggy Q4 FY26 Results blog,https://groww.in/blog/swiggy-q4-fy26-results,secondary
S04,Storyboard18,"Swiggy Instamart expands to 1,143 dark stores, Q4 FY26",https://www.storyboard18.com/brand-marketing/swiggy-instamart-gov-jumps-69-percent-as-losses-narrow-in-q4-fy26-ws-l-97590.htm,secondary
S05,INDmoney,"Swiggy Q4 FY26: Revenue up 45%, stock 44% below peak",https://www.indmoney.com/blog/stocks/swiggy-q4-fy26-results-stock-falling-explained,secondary
S06,Whalesbook,Swiggy's Instamart Prioritizes Profit Over Growth,https://www.whalesbook.com/news/English/consumer-products/Swiggys-Instamart-Prioritizes-Profit-Over-Growth-Amid-Competition/6a014780707d23e8442d3efa,secondary
S07,Whalesbook,"Swiggy Q4: Revenue jumps 45%, Instamart losses mount; Jefferies cuts target",https://www.whalesbook.com/news/English/tech/Swiggy-Q4-Revenue-Jumps-45percent-Instamart-Losses-Mount-Jefferies-Cuts-Target/6a0433139444064ed0161b9d,secondary
S08,MarketsMojo,"Swiggy Q4 FY26: losses narrow, path to profitability uncertain",https://www.marketsmojo.com/news/result-analysis/swiggy-q4-fy26-losses-narrow-sharply-as-revenue-momentum-builds-but-path-to-profitability-remains-uncertain-3982428,secondary
S09,Multibagg,"Swiggy Q4 Results FY26: loss narrows, revenue +45%",https://www.multibagg.ai/market-pulse/articles/swiggy-q4-fy26-loss-revenue-cmowttr5q01tmmn0j134e33zk,secondary
S10,Univest,Swiggy Q4 results FY26 loss 800cr revenue 6383cr,https://univest.in/blogs/swiggy-q4-results-fy26-loss-800-crore-revenue-6383-crore-2,secondary
S11,Alpha Spread,Swiggy Ltd investor relations summary,https://www.alphaspread.com/security/nse/swiggy/investor-relations,secondary
S12,Screener.in,Swiggy Ltd company page (consolidated financials),https://www.screener.in/company/SWIGGY/consolidated/,secondary
S13,Inc42,Eternal Q4: Blinkit's adjusted EBITDA jumps 9x QoQ to ₹37 Cr,https://inc42.com/buzz/eternal-q4-blinkits-adjusted-ebitda-jumps-9x-qoq-to-%E2%82%B937-cr/,secondary
S14,Sahi,"Eternal Q4 FY26: Profit +346%, Blinkit EBITDA positive for first time",https://www.sahi.com/blogs/eternal-limited-zomato-parent-q4-fy26-results-analysis,secondary
S15,Quash,"Blinkit in 2026: Revenue, Market Share, Profitability, What Comes Next",https://quashbugs.com/blog/blinkit-surpasses-zomato-in-quick-commerce,secondary
S16,BSE India,Swiggy corporate presentation (exchange filing),https://www.bseindia.com/xml-data/corpfiling/AttachHIS/5bec0774-d901-48d2-b848-12c8a37842a8.pdf,primary
S17,Trendlyne,Swiggy Ltd. investor presentation mirror,https://trendlyne.com/investor-presentations/2755533/SWIGGY/swiggy-ltd/,secondary
S18,TechCrunch,Zomato raises $1B ahead of rival Swiggy India IPO,https://techcrunch.com/2024/10/22/zomato-to-raise-1b-ahead-of-rival-swiggy-india-ipo,secondary
